mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Novel,Preinduction,Novel_interaction,-0.4325382492729883,5
376,NE,Novel,Preinduction,Social_interaction,0.20014747033250938,6
372,NE,Novel,Preinduction,Novel_interaction,-0.5928369182271502,9
372,NE,Novel,Preinduction,Social_interaction,1.2678680155839683,5
423,NE,Novel,Preinduction,Social_interaction,0.0730658073560645,3
584,NE,Novel,Preinduction,Novel_interaction,-1.0914080425990906,10
584,NE,Novel,Preinduction,Social_interaction,0.26044314576863004,5
450,NE,Novel,Preinduction,Novel_interaction,0.6513981848294944,5
450,NE,Novel,Preinduction,Social_interaction,1.2015391205582395,3
597,NE,Novel,Preinduction,Novel_interaction,-1.0731787160410688,3
597,NE,Novel,Preinduction,Social_interaction,1.4409021250266492,4
459,NE,Novel,Preinduction,Novel_interaction,-0.1637867997045729,2
459,NE,Novel,Preinduction,Social_interaction,1.1173028620020558,4
398,NE,Novel,Preinduction,Novel_interaction,1.4902988772055972,1
398,NE,Novel,Preinduction,Social_interaction,1.6532427287679814,1
400,NE,Novel,Preinduction,Novel_interaction,0.53017187827935,9
400,NE,Novel,Preinduction,Social_interaction,0.4710853259466511,5
376,NE,Novel,W1,Novel_interaction,0.1251206307195042,6
376,NE,Novel,W1,Social_interaction,0.7910663510815558,3
372,NE,Novel,W1,Novel_interaction,0.14802420685856937,8
372,NE,Novel,W1,Social_interaction,0.34357865440921165,3
423,NE,Novel,W1,Novel_interaction,-0.38523481362852036,5
423,NE,Novel,W1,Social_interaction,0.9512111463182231,4
584,NE,Novel,W1,Novel_interaction,1.9021177185161635,1
584,NE,Novel,W1,Social_interaction,1.1164784669383532,8
450,NE,Novel,W1,Novel_interaction,0.5162416325678897,7
450,NE,Novel,W1,Social_interaction,-0.19731141966504878,7
597,NE,Novel,W1,Novel_interaction,0.23987158829705124,3
597,NE,Novel,W1,Social_interaction,0.47348292008568493,6
459,NE,Novel,W1,Novel_interaction,-0.09533770309857598,4
459,NE,Novel,W1,Social_interaction,-0.22833620194247056,11
398,NE,Novel,W1,Novel_interaction,0.3340433101951242,6
398,NE,Novel,W1,Social_interaction,-0.21003461755535335,6
400,NE,Novel,W1,Novel_interaction,-0.07471979612320298,15
400,NE,Novel,W1,Social_interaction,1.256165999497972,2
376,NE,Novel,W2,Novel_interaction,-0.5498818125345911,9
376,NE,Novel,W2,Social_interaction,0.2717027948830745,10
372,NE,Novel,W2,Novel_interaction,0.8283939921525587,5
372,NE,Novel,W2,Social_interaction,1.4504590029512703,2
423,NE,Novel,W2,Novel_interaction,0.01877370004787831,9
423,NE,Novel,W2,Social_interaction,0.643618955810912,5
459,NE,Novel,W2,Novel_interaction,-0.07986738605744965,5
459,NE,Novel,W2,Social_interaction,-0.007273270604481229,9
398,NE,Novel,W2,Novel_interaction,-0.37694438678378017,10
398,NE,Novel,W2,Social_interaction,0.9488038360603396,3
400,NE,Novel,W2,Novel_interaction,-0.009635065950030608,5
400,NE,Novel,W2,Social_interaction,-0.20763811237552626,10
584,NE,Novel,W2,Novel_interaction,1.1650589217799363,10
584,NE,Novel,W2,Social_interaction,-0.40007887258735303,8
450,NE,Novel,W2,Novel_interaction,-0.1431713538084866,10
450,NE,Novel,W2,Social_interaction,0.6243138375002432,7
597,NE,Novel,W2,Novel_interaction,0.7855383700301626,7
597,NE,Novel,W2,Social_interaction,-0.34434526256475895,7
