mouse_id,genotype,condition,week,behavior,mean_dFF,n_events
376,NE,Social,Preinduction,Novel_interaction,-0.9201431289278018,3
376,NE,Social,Preinduction,Social_interaction,-0.03532101855248065,10
372,NE,Social,Preinduction,Novel_interaction,0.042283187194468844,5
372,NE,Social,Preinduction,Social_interaction,-1.1982698336177908,3
423,NE,Social,Preinduction,Novel_interaction,-0.5486809660624321,2
423,NE,Social,Preinduction,Social_interaction,-0.4524569998923335,12
584,NE,Social,Preinduction,Novel_interaction,-2.0153252956819845,4
584,NE,Social,Preinduction,Social_interaction,0.3958291508737209,12
450,NE,Social,Preinduction,Novel_interaction,0.563593096516948,3
450,NE,Social,Preinduction,Social_interaction,0.9665903044850948,9
597,NE,Social,Preinduction,Social_interaction,-0.32041180782032147,12
459,NE,Social,Preinduction,Novel_interaction,0.39898765816114995,5
459,NE,Social,Preinduction,Social_interaction,0.4213189808641985,5
398,NE,Social,Preinduction,Social_interaction,0.21536380992563814,5
400,NE,Social,Preinduction,Novel_interaction,1.2724786788800593,4
400,NE,Social,Preinduction,Social_interaction,0.036304547578746425,7
376,NE,Social,W1,Novel_interaction,-0.6526860287448891,5
376,NE,Social,W1,Social_interaction,-0.020015122703720477,10
372,NE,Social,W1,Novel_interaction,2.5562517892975007,2
372,NE,Social,W1,Social_interaction,0.44046836538110096,6
423,NE,Social,W1,Novel_interaction,-1.0611907495890391,1
423,NE,Social,W1,Social_interaction,0.5529847058188389,5
584,NE,Social,W1,Social_interaction,1.5190855223718112,11
450,NE,Social,W1,Novel_interaction,-0.3671938366893444,2
450,NE,Social,W1,Social_interaction,0.04308800404915636,13
597,NE,Social,W1,Novel_interaction,0.11122420225763799,4
597,NE,Social,W1,Social_interaction,-0.08852678344884406,12
459,NE,Social,W1,Novel_interaction,0.31504982165247764,5
459,NE,Social,W1,Social_interaction,0.756032196203715,7
398,NE,Social,W1,Novel_interaction,1.2128979068009331,2
398,NE,Social,W1,Social_interaction,0.2110964172671152,8
400,NE,Social,W1,Novel_interaction,2.425548062920675,3
400,NE,Social,W1,Social_interaction,0.565328604815052,7
376,NE,Social,W2,Novel_interaction,0.21648733979150203,8
376,NE,Social,W2,Social_interaction,0.0435073107597174,12
372,NE,Social,W2,Novel_interaction,0.27726154331028136,4
372,NE,Social,W2,Social_interaction,0.6228169955466897,6
423,NE,Social,W2,Novel_interaction,0.059611727961140344,7
423,NE,Social,W2,Social_interaction,0.47611604910267935,9
459,NE,Social,W2,Novel_interaction,0.4573965472195743,9
459,NE,Social,W2,Social_interaction,0.9888209414286452,7
398,NE,Social,W2,Novel_interaction,-0.05567890423928504,8
398,NE,Social,W2,Social_interaction,-0.11111290881734781,6
400,NE,Social,W2,Novel_interaction,-0.7129294659654427,11
400,NE,Social,W2,Social_interaction,1.0551705679473684,3
584,NE,Social,W2,Novel_interaction,3.5500990538093946,2
584,NE,Social,W2,Social_interaction,0.4019813372613782,17
450,NE,Social,W2,Novel_interaction,-0.21575445706423704,3
450,NE,Social,W2,Social_interaction,0.5457603826514789,7
597,NE,Social,W2,Novel_interaction,2.496726871450443,2
597,NE,Social,W2,Social_interaction,0.5945311109906979,8
