mouse_id,genotype,condition,week,behavior,pre_mean_dFF,post_mean_dFF,n_events
376,NE,Novel,Preinduction,Novel_interaction,-0.4325382492729883,-0.42046720456943004,5
376,NE,Novel,Preinduction,Social_interaction,0.20014747033250938,1.2665233881895033,6
372,NE,Novel,Preinduction,Novel_interaction,-0.5928369182271502,0.18376687706439554,9
372,NE,Novel,Preinduction,Social_interaction,1.2678680155839683,2.2077442181206304,5
423,NE,Novel,Preinduction,Social_interaction,0.0730658073560645,1.3200816484489257,3
584,NE,Novel,Preinduction,Novel_interaction,-1.0914080425990906,-0.4790484981608828,10
584,NE,Novel,Preinduction,Social_interaction,0.26044314576863004,-0.2020314938062331,5
450,NE,Novel,Preinduction,Novel_interaction,0.6513981848294944,0.5476556316750194,5
450,NE,Novel,Preinduction,Social_interaction,1.2015391205582395,1.1033895006006726,3
597,NE,Novel,Preinduction,Novel_interaction,-1.0731787160410688,1.4794780558511402,3
597,NE,Novel,Preinduction,Social_interaction,1.4409021250266492,1.7237560532142582,4
459,NE,Novel,Preinduction,Novel_interaction,-0.1637867997045729,2.401016598481134,2
459,NE,Novel,Preinduction,Social_interaction,1.1173028620020558,1.3496416900086632,4
398,NE,Novel,Preinduction,Novel_interaction,1.4902988772055972,2.9843579709931958,1
398,NE,Novel,Preinduction,Social_interaction,1.6532427287679814,2.637680310738621,1
400,NE,Novel,Preinduction,Novel_interaction,0.53017187827935,0.6036307929050024,9
400,NE,Novel,Preinduction,Social_interaction,0.4710853259466511,0.45472186002613435,5
376,NE,Novel,W1,Novel_interaction,0.1251206307195042,1.3626594326875452,6
376,NE,Novel,W1,Social_interaction,0.7910663510815558,1.1886178192498418,3
372,NE,Novel,W1,Novel_interaction,0.14802420685856937,3.383533226166514,8
372,NE,Novel,W1,Social_interaction,0.34357865440921165,0.4227683924924646,3
423,NE,Novel,W1,Novel_interaction,-0.38523481362852036,2.7167286900087313,5
423,NE,Novel,W1,Social_interaction,0.9512111463182231,2.131215666587882,4
584,NE,Novel,W1,Novel_interaction,1.9021177185161635,5.066905728785204,1
584,NE,Novel,W1,Social_interaction,1.1164784669383532,1.245728263659415,8
450,NE,Novel,W1,Novel_interaction,0.5162416325678897,-0.060619863350434296,7
450,NE,Novel,W1,Social_interaction,-0.19731141966504878,-0.7281284125220979,7
597,NE,Novel,W1,Novel_interaction,0.23987158829705124,0.8579718810825829,3
597,NE,Novel,W1,Social_interaction,0.47348292008568493,0.1405772141575942,6
459,NE,Novel,W1,Novel_interaction,-0.09533770309857598,0.8285611107667812,4
459,NE,Novel,W1,Social_interaction,-0.22833620194247056,0.47609613286888314,11
398,NE,Novel,W1,Novel_interaction,0.3340433101951242,1.0105586439704044,6
398,NE,Novel,W1,Social_interaction,-0.21003461755535335,1.788451379535265,6
400,NE,Novel,W1,Novel_interaction,-0.07471979612320298,0.2002242737066408,15
400,NE,Novel,W1,Social_interaction,1.256165999497972,1.3406257454863866,2
376,NE,Novel,W2,Novel_interaction,-0.5498818125345911,0.19146238314481304,9
376,NE,Novel,W2,Social_interaction,0.2717027948830745,1.2838307800589388,10
372,NE,Novel,W2,Novel_interaction,0.8283939921525587,1.0373746380708169,5
372,NE,Novel,W2,Social_interaction,1.4504590029512703,3.1000441782654895,2
423,NE,Novel,W2,Novel_interaction,0.01877370004787831,1.0594118596122348,9
423,NE,Novel,W2,Social_interaction,0.643618955810912,0.9589635370988547,5
459,NE,Novel,W2,Novel_interaction,-0.07986738605744965,0.4546923619741337,5
459,NE,Novel,W2,Social_interaction,-0.007273270604481229,0.6717325270081592,9
398,NE,Novel,W2,Novel_interaction,-0.37694438678378017,0.43141082439516876,10
398,NE,Novel,W2,Social_interaction,0.9488038360603396,2.464767151772684,3
400,NE,Novel,W2,Novel_interaction,0.19808588100591495,0.04803992836355203,4
400,NE,Novel,W2,Social_interaction,-0.20763811237552626,-0.7735035567708322,10
584,NE,Novel,W2,Novel_interaction,1.1650589217799363,-0.10511162712849265,10
584,NE,Novel,W2,Social_interaction,-0.40007887258735303,-0.20870555964618667,8
450,NE,Novel,W2,Novel_interaction,-0.1431713538084866,0.32732703591815293,10
450,NE,Novel,W2,Social_interaction,0.6243138375002432,0.12177877824337256,7
597,NE,Novel,W2,Novel_interaction,0.7855383700301626,1.6250662754954306,7
597,NE,Novel,W2,Social_interaction,-0.34434526256475895,0.49341351626548696,7
