mouse_id,genotype,week,mean_dFF
372,NE,Preinduction,-8.554978633334416e-08
372,NE,W1,2.75760104565578e-06
372,NE,W2,4.457534729742976e-05
376,NE,Preinduction,7.320730958918078e-06
376,NE,W1,2.465056072758093e-06
376,NE,W2,4.724517577229998e-05
398,NE,Preinduction,6.088102017732884e-07
398,NE,W1,1.9648631301870116e-07
398,NE,W2,1.3269261859400922e-07
400,NE,Preinduction,-6.966184364804697e-06
400,NE,W1,-1.8201197678629955e-06
400,NE,W2,4.861551225585951e-07
423,NE,Preinduction,5.495838632361037e-06
423,NE,W1,5.710434727327939e-06
423,NE,W2,-1.0972578084762381e-08
450,NE,Preinduction,1.6650870973382976e-05
450,NE,W1,-1.9088287479835565e-07
450,NE,W2,5.332728153594015e-07
459,NE,Preinduction,1.668851800777093e-06
459,NE,W1,6.069340206614798e-06
459,NE,W2,2.33631114604135e-07
584,NE,Preinduction,-8.260635275179782e-07
584,NE,W1,-1.0997634803307885e-08
584,NE,W2,6.914770107615691e-07
597,NE,Preinduction,2.0727296894843645e-07
597,NE,W1,1.268941988432897e-06
597,NE,W2,9.067753947851325e-06
