trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_min,mean_peak_amp_z,trial_SD,threshold_z,n_interaction_bouts
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,Interaction,81.82000000000002,19,13.933023710584205,3.3852629603657154,0.9741440890114041,1.9482881780228083,11
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,Outside interaction,218.05984000000004,11,3.0266921226760504,2.740122366010297,0.9741440890114041,1.9482881780228083,11
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,Interaction,30.700000000000024,1,1.9543973941368062,2.8173234812743995,0.9652525621404914,1.9305051242809828,5
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,Outside interaction,269.13974399999984,34,7.57970550793123,2.778189627008565,0.9652525621404914,1.9305051242809828,5
Preinduction__ID372_NE__3CT_FP_2_1__3CT_Preinduction-Trial_____8,372,NE,Social,Preinduction,Interaction,21.059999999999974,8,22.79202279202282,3.8346854876661665,1.0244801831189887,2.0489603662379774,3
Preinduction__ID372_NE__3CT_FP_2_1__3CT_Preinduction-Trial_____8,372,NE,Social,Preinduction,Outside interaction,278.779712,36,7.748053057749052,2.798633077854081,1.0244801831189887,2.0489603662379774,3
Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,372,NE,Novel,Preinduction,Interaction,31.040000000000006,2,3.8659793814432986,4.416673864353476,0.9606800497268806,1.9213600994537612,9
Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,372,NE,Novel,Preinduction,Outside interaction,268.79968,23,5.133934683255575,2.6515275916611,0.9606800497268806,1.9213600994537612,9
Preinduction__ID374_WT__3CT_FP_5_1__3CT_Preinduction-Trial____11,374,WT,Social,Preinduction,Interaction,72.47999999999996,16,13.245033112582789,3.33911600695582,0.9561263276359927,1.9122526552719854,9
Preinduction__ID374_WT__3CT_FP_5_1__3CT_Preinduction-Trial____11,374,WT,Social,Preinduction,Outside interaction,227.35967999999917,25,6.597475858516362,2.691436456502052,0.9561263276359927,1.9122526552719854,9
Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,374,WT,Novel,Preinduction,Interaction,38.38000000000001,9,14.069828035435119,3.063717452329204,0.96902984213196,1.93805968426392,6
Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,374,WT,Novel,Preinduction,Outside interaction,261.4995199999986,47,10.783958609178384,2.5886572339642218,0.96902984213196,1.93805968426392,6
Preinduction__ID429_WT__3CT_FP_8_1__3CT_Preinduction-Trial____14,429,WT,Social,Preinduction,Interaction,76.27999999999997,16,12.58521237545884,2.947199706361717,0.9460758836289828,1.8921517672579655,11
Preinduction__ID429_WT__3CT_FP_8_1__3CT_Preinduction-Trial____14,429,WT,Social,Preinduction,Outside interaction,223.59983999999963,15,4.025047602896324,2.619294920183025,0.9460758836289828,1.8921517672579655,11
Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,429,WT,Novel,Preinduction,Interaction,55.38000000000002,6,6.500541711809315,2.3101051564431416,0.9293251932505724,1.8586503865011448,13
Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,429,WT,Novel,Preinduction,Outside interaction,244.49974399999982,22,5.398778658843916,2.7376057409260968,0.9293251932505724,1.8586503865011448,13
Preinduction__ID423_NE__3CT_FP_11_1__3CT_Preinduction-Trial____17,423,NE,Social,Preinduction,Interaction,77.66,20,15.45197012619109,3.3357450762601353,0.9816478470571033,1.9632956941142066,13
Preinduction__ID423_NE__3CT_FP_11_1__3CT_Preinduction-Trial____17,423,NE,Social,Preinduction,Outside interaction,222.21996799999928,16,4.32004382252455,2.9955746252832416,0.9816478470571033,1.9632956941142066,13
Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,423,NE,Novel,Preinduction,Interaction,0.0,0,,,0.9353160851118956,1.8706321702237911,0
Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,423,NE,Novel,Preinduction,Outside interaction,299.8402239999996,37,7.403943241451164,2.8823808615078645,0.9353160851118956,1.8706321702237911,0
Preinduction__ID584_NE__3CT_FP14_3__3CT_Preinduction_C3_check_arena_settings-Trial____16,584,NE,Social,Preinduction,Interaction,91.01999999999998,22,14.502307185234018,2.789747500346308,0.970974999876071,1.941949999752142,13
Preinduction__ID584_NE__3CT_FP14_3__3CT_Preinduction_C3_check_arena_settings-Trial____16,584,NE,Social,Preinduction,Outside interaction,208.85996800000112,35,10.054583557151501,2.648040747407125,0.970974999876071,1.941949999752142,13
Preinduction__ID584_NE__3CT_FP15_3__3CT_Preinduction_C3_check_arena_settings-Trial____17,584,NE,Novel,Preinduction,Interaction,44.54000000000003,5,6.735518634934886,2.932760932919919,1.006883602583874,2.013767205167748,11
Preinduction__ID584_NE__3CT_FP15_3__3CT_Preinduction_C3_check_arena_settings-Trial____17,584,NE,Novel,Preinduction,Outside interaction,255.3001279999998,33,7.755577780203861,3.266484769955047,1.006883602583874,2.013767205167748,11
Preinduction__ID450_NE__3CT_FP18_3__3CT_Preinduction_C3_check_arena_settings-Trial____20,450,NE,Social,Preinduction,Interaction,71.54,6,5.032149846239865,2.347271645698432,0.970609157484111,1.941218314968222,13
Preinduction__ID450_NE__3CT_FP18_3__3CT_Preinduction_C3_check_arena_settings-Trial____20,450,NE,Social,Preinduction,Outside interaction,228.30019199999964,18,4.730613629970148,2.254164758407051,0.970609157484111,1.941218314968222,13
Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,450,NE,Novel,Preinduction,Interaction,15.920000000000062,0,0.0,,0.862198118092214,1.724396236184428,5
Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,450,NE,Novel,Preinduction,Outside interaction,283.9205759999986,24,5.0718409362483365,2.1889462473395667,0.862198118092214,1.724396236184428,5
Preinduction__ID597_NE__3CT_FP28_3__3CT_Preinduction_C3_check_arena_settings-Trial____30,597,NE,Social,Preinduction,Interaction,87.66000000000004,25,17.111567419575625,2.7465794506614003,0.958037768146998,1.916075536293996,17
Preinduction__ID597_NE__3CT_FP28_3__3CT_Preinduction_C3_check_arena_settings-Trial____30,597,NE,Social,Preinduction,Outside interaction,212.18092800000142,18,5.0899956474881325,2.5746931700969276,0.958037768146998,1.916075536293996,17
Preinduction__ID597_NE__3CT_FP29_3__3CT_Preinduction_C3_check_arena_settings-Trial____31,597,NE,Novel,Preinduction,Interaction,17.299999999999994,6,20.8092485549133,2.9184797101895867,0.9519935311854602,1.9039870623709203,5
Preinduction__ID597_NE__3CT_FP29_3__3CT_Preinduction_C3_check_arena_settings-Trial____31,597,NE,Novel,Preinduction,Outside interaction,282.5808639999988,40,8.493144107592544,2.585164987682043,0.9519935311854602,1.9039870623709203,5
Preinduction__ID463_WT__3CT_FP4_2__3CT_Preinduction_cohort2_FP-Trial_____6,463,WT,Social,Preinduction,Interaction,45.116000000000014,16,21.278482134941036,3.2017583104030174,0.9619250992944772,1.9238501985889545,4
Preinduction__ID463_WT__3CT_FP4_2__3CT_Preinduction_cohort2_FP-Trial_____6,463,WT,Social,Preinduction,Outside interaction,254.72387200000045,10,2.3554918323477705,2.7872948705299416,0.9619250992944772,1.9238501985889545,4
Preinduction__ID463_WT__3CT_FP5_2__3CT_Preinduction_cohort2_FP-Trial_____7,463,WT,Novel,Preinduction,Interaction,16.305,10,36.79852805887765,3.0418332751333823,0.9094963766714949,1.8189927533429897,4
Preinduction__ID463_WT__3CT_FP5_2__3CT_Preinduction_cohort2_FP-Trial_____7,463,WT,Novel,Preinduction,Outside interaction,283.5347760000007,21,4.443899326127095,2.750481124414478,0.9094963766714949,1.8189927533429897,4
Preinduction__ID459_NE__3CT_FP7_2__3CT_Preinduction_cohort2_FP-Trial_____9,459,NE,Social,Preinduction,Interaction,33.632,12,21.4081826831589,2.4475512341915047,0.8155970243908823,1.6311940487817647,7
Preinduction__ID459_NE__3CT_FP7_2__3CT_Preinduction_cohort2_FP-Trial_____9,459,NE,Social,Preinduction,Outside interaction,266.24774399999984,17,3.8310183766289514,2.4415644392213087,0.8155970243908823,1.6311940487817647,7
Preinduction__ID459_NE__3CT_FP8_2__3CT_Preinduction_cohort2_FP-Trial____10,459,NE,Novel,Preinduction,Interaction,13.424999999999999,6,26.81564245810056,2.617192943824504,0.8435374225566212,1.6870748451132425,2
Preinduction__ID459_NE__3CT_FP8_2__3CT_Preinduction_cohort2_FP-Trial____10,459,NE,Novel,Preinduction,Outside interaction,286.4548079999997,22,4.608056709594491,2.3876640150527844,0.8435374225566212,1.6870748451132425,2
Preinduction__ID398_NE__3CT_FP10_2__3CT_Preinduction_cohort2_FP-Trial____12,398,NE,Social,Preinduction,Interaction,21.707000000000008,7,19.348597226701056,3.206515002892499,0.9753464622801709,1.9506929245603417,5
Preinduction__ID398_NE__3CT_FP10_2__3CT_Preinduction_cohort2_FP-Trial____12,398,NE,Social,Preinduction,Outside interaction,278.1333520000011,25,5.393096474097051,3.066793867925077,0.9753464622801709,1.9506929245603417,5
Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,398,NE,Novel,Preinduction,Interaction,16.645999999999987,11,39.64916496455608,2.728218345234805,0.8971543768290677,1.7943087536581355,1
Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,398,NE,Novel,Preinduction,Outside interaction,283.1940320000001,29,6.14419727602169,2.4126178179759465,0.8971543768290677,1.7943087536581355,1
Preinduction__ID400_NE__3CT_FP13_2__3CT_Preinduction_cohort2_FP-Trial____15,400,NE,Social,Preinduction,Interaction,50.136999999999986,5,5.983604922512318,2.1029664445644998,0.843025594488674,1.686051188977348,9
Preinduction__ID400_NE__3CT_FP13_2__3CT_Preinduction_cohort2_FP-Trial____15,400,NE,Social,Preinduction,Outside interaction,249.70245600000152,25,6.0071495652409235,2.0759477516989544,0.843025594488674,1.686051188977348,9
Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,400,NE,Novel,Preinduction,Interaction,36.61299999999996,8,13.110097506350218,1.8315830795051697,0.7903937399567288,1.5807874799134576,10
Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,400,NE,Novel,Preinduction,Outside interaction,263.2265200000014,22,5.014692288603721,2.098060303421578,0.7903937399567288,1.5807874799134576,10
W1__ID376_NE__3CT_FP1_1__3CT_W1_retracked-Trial_____4,376,NE,Social,W1,Interaction,46.715999999999944,18,23.11841767274598,3.5364190256645194,0.9603890714154878,1.9207781428309756,13
W1__ID376_NE__3CT_FP1_1__3CT_W1_retracked-Trial_____4,376,NE,Social,W1,Outside interaction,253.16364800000014,15,3.555012763917826,2.564061039980304,0.9603890714154878,1.9207781428309756,13
W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,376,NE,Novel,W1,Interaction,57.71799999999999,18,18.71166707093108,3.240992685898741,0.9560452044975324,1.9120904089950648,8
W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,376,NE,Novel,W1,Outside interaction,242.12148800000008,14,3.4693327177966116,2.952150743926318,0.9560452044975324,1.9120904089950648,8
W1__ID372_NE__3CT_FP4_1__3CT_W1_retracked-Trial_____7,372,NE,Social,W1,Interaction,20.60800000000001,8,23.291925465838496,2.662962305058057,0.9002328190578958,1.8004656381157915,6
W1__ID372_NE__3CT_FP4_1__3CT_W1_retracked-Trial_____7,372,NE,Social,W1,Outside interaction,279.2319359999994,26,5.586753515185324,2.510276439030159,0.9002328190578958,1.8004656381157915,6
W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,372,NE,Novel,W1,Interaction,102.91599999999997,24,13.99199347040305,3.2259328377998955,0.9854969270015328,1.9709938540030656,9
W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,372,NE,Novel,W1,Outside interaction,196.92374400000082,3,0.9140594036237665,3.613684678625264,0.9854969270015328,1.9709938540030656,9
W1__ID374_WT__3CT_FP7_1__3CT_W1_retracked-Trial____10,374,WT,Social,W1,Interaction,13.343000000000014,5,22.483699317994432,3.3982203749520266,1.0668830183120332,2.1337660366240665,4
W1__ID374_WT__3CT_FP7_1__3CT_W1_retracked-Trial____10,374,WT,Social,W1,Outside interaction,286.49703200000005,41,8.5864763862545,3.0064693355800807,1.0668830183120332,2.1337660366240665,4
W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,374,WT,Novel,W1,Interaction,73.72299999999987,30,24.415718296868047,3.1975231748230026,0.9898588560628124,1.9797177121256249,11
W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,374,WT,Novel,W1,Outside interaction,226.1170320000002,14,3.714890437797712,2.5914699133066454,0.9898588560628124,1.9797177121256249,11
W1__ID429_WT__3CT_FP11_1__3CT_W1_retracked-Trial____14,429,WT,Social,W1,Interaction,50.65799999999999,13,15.397370602866285,3.284072748299647,0.9845936877819323,1.9691873755638647,11
W1__ID429_WT__3CT_FP11_1__3CT_W1_retracked-Trial____14,429,WT,Social,W1,Outside interaction,249.1822240000014,30,7.2236292425096496,2.4892521345245884,0.9845936877819323,1.9691873755638647,11
W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,429,WT,Novel,W1,Interaction,68.40300000000002,20,17.543090215341426,3.1538176132391653,0.9925098790132819,1.9850197580265638,13
W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,429,WT,Novel,W1,Outside interaction,231.47722400000043,24,6.22091441704864,2.992037779921232,0.9925098790132819,1.9850197580265638,13
W1__ID423_NE__3CT_FP14_1__3CT_W1_retracked-Trial____17,423,NE,Social,W1,Interaction,23.728000000000023,12,30.34389750505729,3.478255794729453,0.9647312427554445,1.929462485510889,5
W1__ID423_NE__3CT_FP14_1__3CT_W1_retracked-Trial____17,423,NE,Social,W1,Outside interaction,276.1122559999995,20,4.346058437913029,2.526019818304084,0.9647312427554445,1.929462485510889,5
W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,423,NE,Novel,W1,Interaction,35.352000000000004,11,18.669382213170397,3.2445000937097217,0.9969056713060797,1.9938113426121593,6
W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,423,NE,Novel,W1,Outside interaction,264.4880320000001,21,4.7639206601227215,2.915080641605903,0.9969056713060797,1.9938113426121593,6
W1__ID584_NE__3CT_FP13_3__3CT_W1_C3-Trial____16,584,NE,Social,W1,Interaction,147.49999999999997,25,10.16949152542373,2.468601542639997,0.9380706204720255,1.876141240944051,15
W1__ID584_NE__3CT_FP13_3__3CT_W1_C3-Trial____16,584,NE,Social,W1,Outside interaction,152.34025600000135,21,8.270958925000027,2.6234778432273425,0.9380706204720255,1.876141240944051,15
W1__ID584_NE__3CT_FP14_3__3CT_W1_C3-Trial____17,584,NE,Novel,W1,Interaction,39.839999999999975,6,9.036144578313259,2.787660423169964,0.9105138993172001,1.8210277986344001,1
W1__ID584_NE__3CT_FP14_3__3CT_W1_C3-Trial____17,584,NE,Novel,W1,Outside interaction,260.0000959999999,34,7.846150949113497,2.798462348227958,0.9105138993172001,1.8210277986344001,1
W1__ID450_NE__3CT_FP20_3__3CT_W1_C3-Trial____24,450,NE,Social,W1,Interaction,67.56,4,3.552397868561279,2.2255065467061055,0.9256820745024035,1.851364149004807,15
W1__ID450_NE__3CT_FP20_3__3CT_W1_C3-Trial____24,450,NE,Social,W1,Outside interaction,232.3206400000003,21,5.423538778130081,2.277161930544534,0.9256820745024035,1.851364149004807,15
W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,450,NE,Novel,W1,Interaction,26.779999999999998,2,4.480955937266618,1.6466370314825571,0.7867527184814403,1.5735054369628807,9
W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,450,NE,Novel,W1,Outside interaction,273.06041600000003,23,5.053826622750036,1.8663717794011148,0.7867527184814403,1.5735054369628807,9
W1__ID597_NE__3CT_FP30_3__3CT_W1_C3-Trial____35,597,NE,Social,W1,Interaction,67.84,21,18.57311320754717,2.993840055381304,0.9148633862820728,1.8297267725641455,15
W1__ID597_NE__3CT_FP30_3__3CT_W1_C3-Trial____35,597,NE,Social,W1,Outside interaction,231.99996800000022,20,5.172414506539927,2.5020624536086578,0.9148633862820728,1.8297267725641455,15
W1__ID597_NE__3CT_FP31_3__3CT_W1_C3-Trial____36,597,NE,Novel,W1,Interaction,15.98000000000004,5,18.77346683354188,2.7068331190458723,0.9826266460495351,1.9652532920990702,3
W1__ID597_NE__3CT_FP31_3__3CT_W1_C3-Trial____36,597,NE,Novel,W1,Outside interaction,283.86022399999956,46,9.723095265365549,2.7243264758048555,0.9826266460495351,1.9652532920990702,3
W1__ID463_WT__3CT_FP4_2__3CT_W1_cohort2_FP-Trial_____6,463,WT,Social,W1,Interaction,71.42000000000002,19,15.96191542985158,2.9510119521797606,0.9603424702475231,1.9206849404950461,16
W1__ID463_WT__3CT_FP4_2__3CT_W1_cohort2_FP-Trial_____6,463,WT,Social,W1,Outside interaction,228.4198079999997,4,1.0506969693276351,2.5177949539586413,0.9603424702475231,1.9206849404950461,16
W1__ID463_WT__3CT_FP5_2__3CT_W1_cohort2_FP-Trial_____7,463,WT,Novel,W1,Interaction,18.319999999999993,4,13.100436681222712,2.766818369971317,0.8825577607653263,1.7651155215306527,7
W1__ID463_WT__3CT_FP5_2__3CT_W1_cohort2_FP-Trial_____7,463,WT,Novel,W1,Outside interaction,281.5199360000003,22,4.688833120507667,2.6362470088893812,0.8825577607653263,1.7651155215306527,7
W1__ID459_NE__3CT_FP7_2__3CT_W1_cohort2_FP-Trial_____9,459,NE,Social,W1,Interaction,23.78000000000002,13,32.80067283431452,2.1049664803148924,0.7472934464723205,1.494586892944641,8
W1__ID459_NE__3CT_FP7_2__3CT_W1_cohort2_FP-Trial_____9,459,NE,Social,W1,Outside interaction,276.1001919999996,29,6.302060086941202,1.9521280610625138,0.7472934464723205,1.494586892944641,8
W1__ID459_NE__3CT_FP8_2__3CT_W1_cohort2_FP-Trial____10,459,NE,Novel,W1,Interaction,12.099999999999994,3,14.876033057851247,2.0288120116982533,0.7544004659915786,1.5088009319831572,4
W1__ID459_NE__3CT_FP8_2__3CT_W1_cohort2_FP-Trial____10,459,NE,Novel,W1,Outside interaction,287.7400000000001,27,5.630082713560851,1.875328480827901,0.7544004659915786,1.5088009319831572,4
W1__ID398_NE__3CT_FP10_2__3CT_W1_cohort2_FP-Trial____12,398,NE,Social,W1,Interaction,57.34000000000003,26,27.206138821067302,2.768129129659943,0.9301674142626796,1.8603348285253591,9
