trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,1,15.879967999999735,6.794913954924792,Interaction,1.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,2,16.759967999999844,8.386635535582183,Interaction,1.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,3,22.639967999999953,3.173554823743518,Interaction,1.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,4,23.759967999999844,2.831405872975297,Interaction,1.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,5,33.23996799999986,3.703458735017035,Interaction,2.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,6,34.439968000000135,2.078672324864903,Interaction,2.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,7,40.07996800000001,2.2038992700924016,Interaction,2.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,8,45.95993599999974,2.5827348030301174,Interaction,2.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,9,57.759935999999925,3.9982191661530138,Interaction,4.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,10,58.359935999999834,4.152368750437678,Interaction,4.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,11,59.479935999999725,3.49898646940149,Interaction,4.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,12,85.63990400000012,2.2952076221701865,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,13,92.71990400000004,4.452207427567389,Interaction,5.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,14,94.1599040000001,2.1736988199205944,Interaction,5.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,15,95.11990400000013,2.4577298595140062,Interaction,5.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,16,96.51990399999977,2.4666519668720475,Interaction,5.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,17,103.71990400000004,2.2771422575797517,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,18,110.91990399999986,3.513851181731046,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,19,111.91990399999986,2.8660482130648055,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,20,114.67990400000008,2.144030695968328,Interaction,6.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,21,115.8799039999999,2.7714816722569524,Interaction,6.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,22,142.2398720000001,2.963196436076782,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,23,142.9598719999999,3.3696561405807834,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,24,173.9598719999999,2.246067319456999,Interaction,7.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,25,175.6398720000002,2.2032787791698394,Interaction,7.0
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,26,204.91987199999994,2.1600207852269304,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,27,231.11987199999976,3.1250798866575917,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,28,232.839872,2.140528312154169,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,29,276.5998400000003,3.3915938793111944,Outside interaction,
Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,376,NE,Social,Preinduction,30,293.7198400000002,2.039021311560029,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,1,1.3200000000006185,3.7596468998221817,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,2,2.600000000000364,2.292925892904198,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,3,18.720000000000255,2.9418593264356976,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,4,20.600000000000364,2.1344070465859257,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,5,22.360000000000582,4.098177076727421,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,6,23.68000000000029,2.3582432138347627,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,7,45.87996800000019,2.24095105042181,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,8,47.51996800000052,2.300222883668018,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,9,57.31996799999979,2.0293102702855084,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,10,58.1999679999999,2.3776877151859743,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,11,66.47996800000055,2.8173234812743995,Interaction,2.0
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,12,80.79996800000026,2.267213535052206,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,13,81.67996800000037,1.9626891049487862,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,14,97.27996799999983,4.053962082696484,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,15,106.87996800000019,2.0398345137070186,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,16,110.43996800000059,2.0911810080211035,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,17,123.99993600000016,5.07858564182219,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,18,142.3999359999998,1.9876668994695783,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,19,174.0399040000002,2.3654636687775494,Outside interaction,
Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,376,NE,Novel,Preinduction,20,174.91990400000032,2.3411454566052208,Outside interaction,
