trial_type,analysis_window,timepoint,n_mice,mean_duration_s,mean_n_peaks,mean_peaks_per_min,sd_peaks_per_min
Novel,Interaction,Preinduction,12,26.35408333333334,5.333333333333333,15.482631518232477,13.848051222744735
Novel,Interaction,W1,12,46.85433333333331,11.833333333333334,15.156921977261804,6.5404922867951765
Novel,Interaction,W2,12,43.85999999999999,9.666666666666666,14.76435455436563,8.48176048203825
Novel,Outside interaction,Preinduction,12,273.49921799999976,29.5,6.485977427087668,1.9339106238696708
Novel,Outside interaction,W1,12,252.98899733333351,22.583333333333332,5.221263839480888,2.1955430167744505
Novel,Outside interaction,W2,12,255.9902560000003,28.0,6.52736263522502,1.8963558605618482
Social,Interaction,Preinduction,12,60.842666666666666,14.333333333333334,15.22267946126688,5.681938545414208
Social,Interaction,W1,12,52.95275000000001,14.0,19.019957849154405,9.339930328790144
Social,Interaction,W2,12,54.764999999999986,13.25,17.235117170054966,9.752382808700183
Social,Outside interaction,Preinduction,12,239.0139626666669,20.916666666666668,5.264938462273901,2.1261688199088358
Social,Outside interaction,W1,12,246.90068199999988,21.25,5.18369846967233,2.2897893578177304
Social,Outside interaction,W2,12,245.08854400000004,20.25,4.948059349935094,2.1418635846719756
