FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,9570.68256,7,62352926.2464,0.00392156862745098
1,9570.702528,2,62352946.1632,0.048553486180261
2,9570.722528,1,62352966.1568,0.0341887434179523
3,9570.742528,2,62352986.2144,0.0476786116745549
4,9570.762528,1,62353006.144,0.0322146413424304
5,9570.782528,2,62353026.176,0.0470741901776385
6,9570.802528,1,62353046.1696,0.0340637613457086
7,9570.822528,2,62353066.2144,0.0464841108857336
8,9570.842528,1,62353086.1824,0.033949023705616
9,9570.862528,2,62353106.1632,0.0456287008011146
10,9570.882528,1,62353126.5792,0.0338066260987154
11,9570.902528,2,62353146.2016,0.0448613928329953
12,9570.922528,1,62353166.1568,0.0337011084475588
13,9570.942528,2,62353186.2016,0.0440776937734341
14,9570.962528,1,62353206.1696,0.033611981887844
15,9570.982528,2,62353226.1248,0.0437467986149528
16,9571.002528,1,62353246.1952,0.0334921220316758
17,9571.022528,2,62353266.2016,0.0436884053516914
18,9571.042528,1,62353286.2464,0.0334654865080829
19,9571.062528,2,62353306.1888,0.0432048681541582
20,9571.082528,1,62353326.1952,0.0334521687462864
21,9571.102528,2,62353346.176,0.042675231011945
22,9571.122528,1,62353366.1568,0.03330260003688
23,9571.142528,2,62353386.2144,0.0422685270555453
24,9571.162528,1,62353406.1824,0.0331970823857234
25,9571.182528,2,62353426.2016,0.0420154895814125
26,9571.202528,1,62353446.208,0.033194009056078
27,9571.222528,2,62353466.1888,0.0418228942569713
28,9571.242528,1,62353486.2592,0.0331612268731944
29,9571.262528,2,62353506.2016,0.0415975167496466
30,9571.282528,1,62353526.1824,0.0331397135656771
31,9571.302528,2,62353546.2528,0.0412942815579732
32,9571.322528,1,62353566.2208,0.0330557092220378
33,9571.342528,2,62353586.2016,0.0408547954186899
34,9571.362528,1,62353606.2336,0.033102833609933
35,9571.382528,2,62353626.2528,0.0406417112299465
36,9571.402528,1,62353646.2336,0.0329952670723462
37,9571.422528,2,62353666.2272,0.0402513983649886
38,9571.442528,1,62353686.3232,0.0328989694101256
39,9571.462528,2,62353706.24,0.0400137275390825
40,9571.482528,1,62353726.2208,0.0329102382854918
41,9571.502528,2,62353746.2144,0.0399061610014957
42,9571.522528,1,62353766.2464,0.0328600405679513
43,9571.542528,2,62353786.2528,0.039745323416723
44,9571.562528,1,62353806.2592,0.0328426250332944
45,9571.582528,2,62353826.2528,0.0396305857766304
46,9571.602528,1,62353846.2464,0.0328047206343352
47,9571.622528,2,62353866.24,0.0393939393939394
48,9571.642528,1,62353886.2592,0.0327371073821378
49,9571.662528,2,62353906.2144,0.0394390148954043
50,9571.682528,1,62353926.2336,0.0328098428504108
51,9571.702528,2,62353946.24,0.039344766119614
52,9571.722528,1,62353966.2464,0.0328262339418526
53,9571.742528,2,62353986.2912,0.0391460241358821
54,9571.762528,1,62354006.2336,0.0327729628946667
55,9571.782528,2,62354026.2016,0.0392464195709632
56,9571.802528,1,62354046.2464,0.0326910074374577
57,9571.822528,2,62354066.2272,0.0390497264736616
