mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,mean_absolute_deviation,threshold_z,n_social_bouts
450,NE,Preinduction__ID450_NE__3CT_FP16_3__3CT_Preinduction_C3_check_arena_settings-Trial____18,Hab,Preinduction,Entire_trial,299.88019200000053,82,0.27344253534424795,16.406552120654876,1.69652681429498,1.5639024140435107,0.772208453391117,1.1583126800866754,5
450,NE,W1__ID450_NE__3CT_FP19_3__3CT_W1_C3-Trial____23,Hab,W1,Entire_trial,299.8407360000001,81,0.2701434137354838,16.208604824129026,1.6966377035227604,1.5953469944379783,0.7683493624979196,1.1525240437468796,8
450,NE,W2__ID450_NE__3CT_FP15_3__3CT_W2_C3-Trial____17,Hab,W2,Entire_trial,299.8804479999999,80,0.2667729774766777,16.006378648600663,1.987640908122387,1.7679038385159402,0.8056361967260592,1.2084542950890889,13
584,NE,Preinduction__ID584_NE__3CT_FP13_3__3CT_Preinduction_C3_check_arena_settings-Trial____15,Hab,Preinduction,Entire_trial,299.84031999999934,92,0.30682998203844036,18.409798922306422,2.1837738715348,2.050501111125045,0.7760288033279787,1.1640432049919682,4
584,NE,W1__ID584_NE__3CT_FP12_3__3CT_W1_C3-Trial____15,Hab,W1,Entire_trial,299.8402239999996,104,0.3468513950950095,20.81108370570057,2.042932473137212,1.7953760106754666,0.7899644511175752,1.1849466766763628,8
584,NE,W2__ID584_NE__3CT_FP12_3__3CT_W2_C3-Trial____14,Hab,W2,Entire_trial,299.8402560000013,112,0.37353223177610784,22.41193390656647,2.2370166922334773,2.1183975875137526,0.7807124685944027,1.171068702891604,10
597,NE,Preinduction__ID597_NE__3CT_FP26_3__3CT_Preinduction_C3_check_arena_settings-Trial____28,Hab,Preinduction,Entire_trial,299.84080000000176,82,0.27347845923569947,16.40870755414197,2.0945885964490927,1.9100712616201365,0.7733797255917805,1.1600695883876706,6
597,NE,W1__ID597_NE__3CT_FP29_3__3CT_W1_C3-Trial____34,Hab,W1,Entire_trial,299.83987200000047,87,0.2901548730650467,17.4092923839028,2.0406592745003684,1.7798702692420123,0.7670834392912786,1.150625158936918,16
597,NE,W2__ID597_NE__3CT_FP24_3__3CT_W2_C3-Trial____26,Hab,W2,Entire_trial,299.8801919999969,91,0.30345452093081543,18.207271255848926,1.9778297020222255,1.6556285313559935,0.7549061645818114,1.132359246872717,8
372,NE,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,Novel,Preinduction,Entire_trial,299.83968000000004,80,0.26680924952961527,16.008554971776917,1.9854597442032653,1.711971553566695,0.7605407668067224,1.1408111502100837,5
372,NE,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,Novel,W1,Entire_trial,299.8397440000008,73,0.24346338822914618,14.60780329374877,2.1488720250737785,1.6596167712983276,0.7045566101806509,1.0568349152709762,3
372,NE,W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,Novel,W2,Entire_trial,299.8801279999998,88,0.2934505883630944,17.607035301785665,2.0235879877823817,1.7855496756472564,0.7583183927659494,1.137477589148924,2
374,WT,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,Novel,Preinduction,Entire_trial,299.8795199999986,109,0.3634793066228748,21.80875839737249,2.196183348545401,2.0734651061090084,0.7545071021916155,1.1317606532874234,5
374,WT,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,Novel,W1,Entire_trial,299.84003200000006,96,0.32017072356769216,19.21024341406153,2.133773781692256,1.836911256352355,0.7238777303726821,1.085816595559023,2
374,WT,W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,Novel,W2,Entire_trial,299.88003200000094,98,0.326797350748581,19.60784104491486,2.1148274362215953,1.728022173472752,0.7267357364844886,1.090103604726733,6
376,NE,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,Novel,Preinduction,Entire_trial,299.8397439999999,89,0.29682522674512435,17.809513604707462,2.0481908566746942,1.5979815063813032,0.7124421463483968,1.0686632195225951,7
376,NE,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,Novel,W1,Entire_trial,299.8394880000001,76,0.25346894935999886,15.208136961599932,2.2374050484670867,1.7777913335580515,0.7114413520909614,1.067162028136442,3
376,NE,W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,Novel,W2,Entire_trial,299.84019199999966,94,0.31350033287065165,18.8100199722391,2.2130790623665693,1.8716171070791425,0.7326432968971018,1.0989649453456527,13
398,NE,Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,Novel,Preinduction,Entire_trial,299.84003200000006,81,0.2701440480102403,16.208642880614416,2.1500785545249887,1.9718309594992207,0.7763276829247048,1.1644915243870573,1
398,NE,W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,Novel,W1,Entire_trial,299.84000000000015,81,0.27014407684098174,16.208644610458904,2.1112173251223303,1.7703664331948723,0.7576147946048171,1.1364221919072257,6
