genotype,trial_type,analysis_window,n_trials,n_animals,mean_duration_s,mean_n_peaks,mean_transient_freq_per_min,sem_transient_freq_per_min,mean_peak_amp_z,sem_peak_amp_z
NE,Hab,Entire_trial,9,3,299.8536711111111,38.666666666666664,7.737169837169751,0.9474562674827953,2.3196284910476352,0.12661795203187826
NE,Hab,Social_interaction,9,3,30.100000000000023,6.777777777777778,12.362954339006405,3.1758958039779794,2.3986139369591,0.18843923888254344
NE,Novel,Entire_trial,27,9,299.8460302222223,35.22222222222222,7.048039143634293,0.3495715344899502,2.6771197940152236,0.0740185840099895
NE,Novel,Social_interaction,27,9,33.86181481481481,5.666666666666667,14.903442758391737,3.355644125968179,3.060315545278224,0.1778185885711912
NE,Social,Entire_trial,27,9,299.8578974814816,35.2962962962963,7.062603028258245,0.32426909804409904,2.67815255962736,0.0685869687284137
NE,Social,Social_interaction,27,9,56.75288888888889,13.592592592592593,17.1365756787865,1.7626290775584392,2.8339605594630095,0.10029065808378115
WT,Novel,Entire_trial,9,3,299.85776000000016,36.888888888888886,7.381223265686821,0.6426380222769504,2.8144595806244332,0.07733708449868033
WT,Novel,Social_interaction,9,3,30.3771111111111,8.88888888888889,16.181968867379048,2.15123755399139,3.139301433206614,0.14556881736091049
WT,Social,Entire_trial,9,3,299.844448,32.77777777777778,6.558961746582177,0.6237507795028375,2.911241096464642,0.06413909059664744
WT,Social,Social_interaction,9,3,54.48855555555554,14.666666666666666,17.227278937608833,1.9237262733641882,3.2075172047199803,0.08469088532192716
