FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,12881.41456,7,70711057.1136,0.00392156862745098
1,12881.434528,2,70711076.9792,0.0266375724793575
2,12881.454528,1,70711096.8576,0.0228041059684062
3,12881.474528,2,70711116.9664,0.0264101460856025
4,12881.494528,1,70711136.8448,0.0227600549101563
5,12881.514528,2,70711156.8256,0.0261796463622021
6,12881.534528,1,70711176.9344,0.0207541950949659
7,12881.554528,2,70711196.8896,0.0240713422255004
8,12881.574528,1,70711217.024,0.020682484069908
9,12881.594528,2,70711236.9152,0.02393099350503
10,12881.614528,1,70711256.8704,0.0206384330116582
11,12881.634528,2,70711276.9792,0.0238367447292397
12,12881.654528,1,70711296.896,0.0206107730448501
13,12881.674528,2,70711316.9408,0.0237496670559551
14,12881.694528,1,70711336.9728,0.0205923330669781
15,12881.714528,2,70711356.9792,0.0236267338701416
16,12881.734528,1,70711377.0368,0.0205687708730305
17,12881.754528,2,70711396.9792,0.0234679451717991
18,12881.774528,1,70711416.896,0.0204253488229147
19,12881.794528,2,70711437.0816,0.0234505296371422
20,12881.814528,1,70711456.9984,0.0203925666400311
21,12881.834528,2,70711476.992,0.0234874095928863
22,12881.854528,1,70711497.0112,0.0204284221525601
23,12881.874528,2,70711517.0432,0.0233911119306657
24,12881.894528,1,70711536.9344,0.0203372467064151
25,12881.914528,2,70711557.0688,0.0233378408834798
26,12881.934528,1,70711576.9216,0.0202901223185199
27,12881.954528,2,70711597.0944,0.0232651054152068
28,12881.974528,1,70711616.9472,0.0203054889667466
29,12881.994528,2,70711637.0048,0.023312229803102
30,12882.014528,1,70711657.1136,0.0202880734320897
31,12882.034528,2,70711676.9024,0.0232640809719917
32,12882.054528,1,70711696.9216,0.0203013911938861
33,12882.074528,2,70711716.9664,0.0232149076976663
34,12882.094528,1,70711737.1136,0.0202962689778106
35,12882.114528,2,70711756.9408,0.0231780277419223
36,12882.134528,1,70711777.0496,0.0202409490441945
37,12882.154528,2,70711796.992,0.0230714856475506
38,12882.174528,1,70711816.9216,0.0201979224291598
39,12882.194528,2,70711836.9408,0.0230776323068412
40,12882.214528,1,70711857.0752,0.0201149425287356
41,12882.234528,2,70711876.9792,0.0229362591431557
