week,mouse_id,behavior,duration_s
Preinduction,ID584,In Zone(C1_prevO1 / Center-point),15.760000000344007
Preinduction,ID584,In Zone(C1_prevO1 / Center-point),28.76000000062777
Preinduction,ID584,In Zone(C1_prevO1 / Center-point),35.04000000076485
Preinduction,ID584,In Zone(C1_prevO1 / Center-point),130.9200000028577
Preinduction,ID584,In Zone(C1_prevO1 / Center-point),53.360000001164735
Preinduction,ID584,In Zone(C1_prevO1 / Center-point),140.64000000306987
Preinduction,ID584,In Zone(C2_prevO2 / Center-point),19.92000000043481
Preinduction,ID584,In Zone(C2_prevO2 / Center-point),25.360000000553555
Preinduction,ID584,In Zone(C2_prevO2 / Center-point),38.56000000084168
Preinduction,ID584,In Zone(C2_prevO2 / Center-point),20.600000000449654
Preinduction,ID584,In Zone(C2_prevO2 / Center-point),30.280000000660948
Preinduction,ID584,In Zone(NeutralZone/ Center-point),8.320000000181608
Preinduction,ID584,In Zone(NeutralZone/ Center-point),1.9200000000419095
Preinduction,ID584,In Zone(NeutralZone/ Center-point),1.3200000000288128
Preinduction,ID584,In Zone(NeutralZone/ Center-point),3.520000000076834
Preinduction,ID584,In Zone(NeutralZone/ Center-point),1.5600000000340515
Preinduction,ID584,In Zone(NeutralZone/ Center-point),3.0000000000654836
Preinduction,ID584,In Zone(NeutralZone/ Center-point),5.360000000116997
Preinduction,ID584,In Zone(NeutralZone/ Center-point),15.760000000344007
Preinduction,ID584,In Zone(O1_prevC1 / Center-point),6.400000000139698
Preinduction,ID584,In Zone(O2_prevC2 / Center-point),2.400000000052387
Preinduction,ID584,In Zone(O2_prevC2 / Center-point),9.920000000216532
Preinduction,ID584,Other,1.2000000000261934
Preinduction,ID450,In Zone(C1_prevO1 / Center-point),13.960000000304717
Preinduction,ID450,In Zone(C1_prevO1 / Center-point),2.5200000000550062
Preinduction,ID450,In Zone(C1_prevO1 / Center-point),45.04000000098313
Preinduction,ID450,In Zone(C1_prevO1 / Center-point),23.320000000509026
