mouse_id,genotype,condition,week,mean_dFF,n_frames
584,NE,,Preinduction,-0.26057746303087215,13480
450,NE,,Preinduction,-0.6216566174971111,13020
597,NE,,Preinduction,-0.14761175937725157,14164
376,NE,,Preinduction,-0.06920814006521524,14377
372,NE,,Preinduction,-0.24219608582425656,13893
423,NE,,Preinduction,-0.2808945550983266,12342
459,NE,,Preinduction,-0.4423371434707672,13232
398,NE,,Preinduction,-0.2738106185629437,12283
400,NE,,Preinduction,-0.0356783747480578,14921
376,NE,,W1,-0.15171952869884894,13014
372,NE,,W1,-0.06071366603076649,14751
423,NE,,W1,-0.16980156167249477,13796
450,NE,,W1,-0.7152556660245224,13503
597,NE,,W1,-0.20476358816798593,13722
459,NE,,W1,-0.2255343749823439,13889
398,NE,,W1,-0.10251837780775411,14632
400,NE,,W1,0.0008061597425191384,14997
459,NE,,W2,-0.3494507218946134,13183
398,NE,,W2,-0.13459243911532778,13893
400,NE,,W2,-0.04396049420135622,14863
376,NE,,W2,-0.0460045822104918,12540
372,NE,,W2,-0.045890258155888645,14713
423,NE,,W2,0.027854959276447988,14178
584,NE,,W2,-0.301917268461778,12674
597,NE,,W2,-0.09350629824017404,13723
450,NE,,W2,-0.31083771929807535,12473
