mouse_id,genotype,condition,week,mean_dFF,n_frames
584,NE,,Preinduction,5.421632813584011,468
450,NE,,Preinduction,4.4029343168069435,633
597,NE,,Preinduction,3.3669815172383237,356
376,NE,,Preinduction,2.3132076755636755,273
372,NE,,Preinduction,2.749697064322563,669
423,NE,,Preinduction,1.2480812960018721,1862
459,NE,,Preinduction,3.718221705072881,752
398,NE,,Preinduction,1.5738338525408244,974
376,NE,,W1,0.9294403552178154,1035
372,NE,,W1,3.4236708452008116,142
423,NE,,W1,2.1681420861413128,139
450,NE,,W1,5.91722537256783,724
597,NE,,W1,4.9453620082394645,234
459,NE,,W1,2.6918793645418426,720
398,NE,,W1,4.145583131781134,215
459,NE,,W2,3.1798742967320006,996
398,NE,,W2,0.755508220346213,703
400,NE,,W2,4.856471816051536,76
376,NE,,W2,0.41518568186131877,1195
372,NE,,W2,0.9956292885770461,126
423,NE,,W2,0.48026753919010423,100
584,NE,,W2,3.6352092431350136,578
597,NE,,W2,0.23538967808359515,269
450,NE,,W2,1.619325680523568,1452
