mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,5.934945735737604,3
450,NE,,Preinduction,3.76651151755543,5
597,NE,,Preinduction,4.1508855575886585,2
376,NE,,Preinduction,3.157020815293094,1
372,NE,,Preinduction,3.7966747187555825,5
423,NE,,Preinduction,2.317269958865457,4
459,NE,,Preinduction,5.446330006588548,2
398,NE,,Preinduction,1.967631372217881,3
376,NE,,W1,0.9525434753353214,6
372,NE,,W1,4.61961023026324,1
423,NE,,W1,1.834108959102807,2
450,NE,,W1,6.016899356442029,3
597,NE,,W1,4.666857839979903,1
459,NE,,W1,3.0816296099694314,2
398,NE,,W1,4.528496741451326,2
459,NE,,W2,3.4729784625379883,2
398,NE,,W2,4.5077822803388035,2
400,NE,,W2,4.876567150928128,2
376,NE,,W2,0.18558845035874078,9
372,NE,,W2,1.3358384315363963,2
423,NE,,W2,0.9437380112546498,1
584,NE,,W2,5.643143597556645,1
597,NE,,W2,0.738179747018285,2
450,NE,,W2,1.8469372610163037,7
