mouse_id,genotype,condition,week,mean_dFF,n_events
584,NE,,Preinduction,-3.001758673697801,3
450,NE,,Preinduction,0.008023411655317577,6
597,NE,,Preinduction,-0.08622693540975468,2
376,NE,,Preinduction,-0.7543729615108059,1
372,NE,,Preinduction,-0.25092866207054143,5
423,NE,,Preinduction,-0.15708986327513735,5
459,NE,,Preinduction,3.0636306804017748,2
398,NE,,Preinduction,0.07467109532581577,4
376,NE,,W1,-0.47313589872700795,6
372,NE,,W1,-1.2413537467583138,1
423,NE,,W1,-1.2432306046912471,2
450,NE,,W1,-1.9726111003783433,3
597,NE,,W1,1.9245632104710657,1
459,NE,,W1,0.971881766286038,3
398,NE,,W1,-1.2120810620077072,2
459,NE,,W2,-1.0689966746481712,2
398,NE,,W2,0.04524468495672026,3
400,NE,,W2,-1.1798798124372127,2
376,NE,,W2,0.19186733113706173,9
372,NE,,W2,-0.28618212424927825,2
423,NE,,W2,-0.47039656548003234,1
584,NE,,W2,-1.2658409678724638,1
597,NE,,W2,0.9461669264243132,2
450,NE,,W2,-0.05454141547717162,8
