FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,11999.283552,7,66172696.0256,0.00392156862745098
1,11999.30352,2,66172716.0064,0.0274919581207614
2,11999.32352,1,66172736.0896,0.0236605404962403
3,11999.34352,2,66172755.9552,0.0274991292232672
4,11999.36352,1,66172776,0.0236697604851763
5,11999.38352,2,66172796.0192,0.0275257647468601
6,11999.40352,1,66172816.064,0.0236185383244207
7,11999.42352,2,66172836.032,0.0274940070071916
8,11999.44352,1,66172855.9616,0.0237004937816297
9,11999.46352,2,66172875.9808,0.0275073247689881
10,11999.48352,1,66172896.0768,0.0237465937263097
11,11999.50352,2,66172916.0064,0.0274284426414244
12,11999.52352,1,66172936.1152,0.0236625893826705
13,11999.54352,2,66172955.9552,0.0273495605138607
14,11999.56352,1,66172976.0256,0.0236728338148216
15,11999.58352,2,66172995.9552,0.0273321449792038
16,11999.60352,1,66173015.9744,0.0236974204519843
17,11999.62352,2,66173035.968,0.02734341385457
18,11999.64352,1,66173056,0.0236830782469728
19,11999.66352,2,66173075.9808,0.0273024361259655
20,11999.68352,1,66173095.9872,0.0236861515766181
21,11999.70352,2,66173116.032,0.027224578441617
22,11999.72352,1,66173135.9872,0.0236267338701416
23,11999.74352,2,66173155.9936,0.0271825762697974
24,11999.76352,1,66173176.0384,0.0237056159977052
25,11999.78352,2,66173196.0192,0.0272010162476694
26,11999.80352,1,66173216.0384,0.0236953715655541
27,11999.82352,2,66173236.0064,0.027188722929088
28,11999.84352,1,66173256,0.0236789804741123
29,11999.86352,2,66173276.0704,0.0272471161923495
30,11999.88352,1,66173296.1152,0.0236113672219149
31,11999.90352,2,66173316.032,0.0272542872948552
32,11999.92352,1,66173336.0256,0.0236492716208741
33,11999.94352,2,66173356.032,0.0272184317823263
34,11999.96352,1,66173376.0384,0.0235796094822464
35,11999.98352,2,66173396.0448,0.0273639027188723
36,12000.00352,1,66173416.0128,0.0236134161083451
37,12000.02352,2,66173436.0192,0.0273690249349479
38,12000.04352,1,66173456.0512,0.0235724383797406
39,12000.06352,2,66173476.0576,0.0275134714282787
40,12000.08352,1,66173496.0128,0.0236113672219149
41,12000.10352,2,66173516.0576,0.0275452291679472
42,12000.12352,1,66173536.0384,0.0236021472329789
43,12000.14352,2,66173556.0448,0.0275657180322495
44,12000.16352,1,66173576.064,0.0235908783576126
45,12000.18352,2,66173596.0448,0.0274940070071916
46,12000.20352,1,66173616.0384,0.0235232651054152
47,12000.22352,2,66173636.0576,0.0274509803921569
48,12000.24352,1,66173656.0512,0.0235683406068802
49,12000.26352,2,66173676.0576,0.0274602003810929
50,12000.28352,1,66173696.0384,0.0235427295265023
51,12000.30352,2,66173716.0576,0.0275206425307845
52,12000.32352,1,66173736.0768,0.0235560472882988
53,12000.34352,2,66173756.1216,0.0275421558383019
54,12000.36352,1,66173776.128,0.0235908783576126
55,12000.38352,2,66173796.1216,0.027552400270453
56,12000.40352,1,66173816.064,0.0235970250169033
57,12000.42352,2,66173836.096,0.0276210379658656
58,12000.44352,1,66173856.1152,0.0235539984018686
59,12000.46352,2,66173876.0448,0.0275913291126273
60,12000.48352,1,66173896.0896,0.0235417050832872
61,12000.50352,2,66173916.1344,0.0275800602372611
62,12000.52352,1,66173936.0768,0.0235724383797406
63,12000.54352,2,66173956.1216,0.0275278136332903
64,12000.56352,1,66173976.1152,0.023521216218985
65,12000.58352,2,66173996.096,0.0274745425861045
66,12000.60352,1,66174016.1152,0.0235611695043744
67,12000.62352,2,66174036.1088,0.0275390825086565
68,12000.64352,1,66174056.128,0.0235447784129326
69,12000.66352,2,66174076.1472,0.0275288380765054
70,12000.68352,1,66174096.128,0.0234904829225316
71,12000.70352,2,66174116.1984,0.0275534247136681
72,12000.72352,1,66174136.1536,0.0235857561415371
73,12000.74352,2,66174156.096,0.0275063003257729
74,12000.76352,1,66174176.1408,0.0234556518532178
75,12000.78352,2,66174196.1216,0.0274827381318254
76,12000.80352,1,66174216.1152,0.0234720429446596
77,12000.82352,2,66174236.1344,0.0273925871288954
78,12000.84352,1,66174256.1408,0.0235058495707583
79,12000.86352,2,66174276.1216,0.0273055094556109
80,12000.88352,1,66174296.1664,0.0234679451717991
81,12000.90352,2,66174316.1472,0.0273116561149016
82,12000.92352,1,66174336.1792,0.0234874095928863
83,12000.94352,2,66174356.1344,0.0273085827852562
84,12000.96352,1,66174376.1408,0.023521216218985
85,12000.98352,2,66174396.1728,0.0272624828405761
86,12001.00352,1,66174416.1664,0.0234290163296248
87,12001.02352,2,66174436.1472,0.0271129141311697
88,12001.04352,1,66174456.1536,0.0234884340361014
89,12001.06352,2,66174476.16,0.0270934497100826
90,12001.08352,1,66174496.1536,0.023439260761776
91,12001.10352,2,66174516.1472,0.027079107505071
92,12001.12352,1,66174536.1664,0.0233378408834798
93,12001.14352,2,66174556.1728,0.0270381297764665
94,12001.16352,1,66174576.192,0.023439260761776
