mouse_id,genotype,week,window,mean_dFF
584,NE,Preinduction,Pre (-2 to 0s),2.1669253569907756
450,NE,Preinduction,Pre (-2 to 0s),3.4208882474458857
597,NE,Preinduction,Pre (-2 to 0s),1.0507826340601367
376,NE,Preinduction,Pre (-2 to 0s),2.1199649750127803
372,NE,Preinduction,Pre (-2 to 0s),2.7291438604302156
423,NE,Preinduction,Pre (-2 to 0s),1.0171320848066974
459,NE,Preinduction,Pre (-2 to 0s),4.837146043823649
398,NE,Preinduction,Pre (-2 to 0s),0.6794463446905055
376,NE,W1,Pre (-2 to 0s),1.5946622232865042
372,NE,W1,Pre (-2 to 0s),3.2880166238145825
423,NE,W1,Pre (-2 to 0s),2.384103548850676
450,NE,W1,Pre (-2 to 0s),7.7674169708405785
597,NE,W1,Pre (-2 to 0s),1.8238102183821914
459,NE,W1,Pre (-2 to 0s),2.4863476391213495
398,NE,W1,Pre (-2 to 0s),4.324862876372245
459,NE,W2,Pre (-2 to 0s),2.425686712544066
398,NE,W2,Pre (-2 to 0s),3.0242140167596196
400,NE,W2,Pre (-2 to 0s),5.147725568357194
376,NE,W2,Pre (-2 to 0s),-0.014558600640934956
372,NE,W2,Pre (-2 to 0s),1.4533539421978139
423,NE,W2,Pre (-2 to 0s),0.32419174237705195
584,NE,W2,Pre (-2 to 0s),-0.6070729834868532
597,NE,W2,Pre (-2 to 0s),0.6379532124984958
450,NE,W2,Pre (-2 to 0s),1.3623824031008884
584,NE,Preinduction,Post (0 to 2s),-0.8348333167070249
450,NE,Preinduction,Post (0 to 2s),3.428911659101203
597,NE,Preinduction,Post (0 to 2s),0.9645556986503819
376,NE,Preinduction,Post (0 to 2s),1.3655920135019743
372,NE,Preinduction,Post (0 to 2s),2.4782151983596745
423,NE,Preinduction,Post (0 to 2s),0.8600422215315604
459,NE,Preinduction,Post (0 to 2s),7.900776724225423
398,NE,Preinduction,Post (0 to 2s),0.7541174400163213
376,NE,W1,Post (0 to 2s),1.121526324559496
372,NE,W1,Post (0 to 2s),2.046662877056269
423,NE,W1,Post (0 to 2s),1.140872944159429
450,NE,W1,Post (0 to 2s),5.794805870462235
597,NE,W1,Post (0 to 2s),3.7483734288532573
459,NE,W1,Post (0 to 2s),3.4582294054073874
398,NE,W1,Post (0 to 2s),3.1127818143645385
459,NE,W2,Post (0 to 2s),1.3566900378958953
398,NE,W2,Post (0 to 2s),3.0694587017163393
400,NE,W2,Post (0 to 2s),3.9678457559199805
376,NE,W2,Post (0 to 2s),0.17730873049612683
372,NE,W2,Post (0 to 2s),1.167171817948536
423,NE,W2,Post (0 to 2s),-0.14620482310298036
584,NE,W2,Post (0 to 2s),-1.8729139513593174
597,NE,W2,Post (0 to 2s),1.584120138922809
450,NE,W2,Post (0 to 2s),1.3078409876237171
