mouse_id,genotype,week,mean_dFF
372,NE,Preinduction,0.00194882230236138
372,NE,W1,0.0003195819784600854
372,NE,W2,0.0002582357557525618
376,NE,Preinduction,-6.2916673793521774e-06
376,NE,W1,-6.261856726365678e-07
376,NE,W2,-5.995712850316156e-06
398,NE,Preinduction,-7.687976573692172e-06
398,NE,W1,-1.5876921009091853e-05
398,NE,W2,8.26903671555982e-05
400,NE,Preinduction,-0.000649700423611466
400,NE,W1,0.0008061597425191384
400,NE,W2,1.1758749073548546e-05
423,NE,Preinduction,2.433214953826114e-06
423,NE,W1,-0.0002878364037673778
423,NE,W2,0.00015606612543941356
450,NE,Preinduction,-0.002341276225861142
450,NE,W1,-0.005629778758865123
450,NE,W2,-0.0009470736131622346
459,NE,Preinduction,-0.00035614370546129925
459,NE,W1,0.0017212353952526392
459,NE,W2,0.00019946776230292697
584,NE,Preinduction,-0.0006132314725821662
584,NE,W2,-0.0006136897288824766
597,NE,Preinduction,9.441099897400428e-05
597,NE,W1,0.0011648635423375233
597,NE,W2,0.0015677299112361865
