FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,13326.965568,7,54515842.688,0.00392156862745098
1,13326.985536,2,54515862.656,0.0398590366136005
2,13327.005536,1,54515882.6368,0.0255547360009835
3,13327.025536,2,54515902.6304,0.0401100252013031
4,13327.045536,1,54515922.6368,0.02361239166513
5,13327.065536,2,54515942.6176,0.0399584076054664
6,13327.085536,1,54515962.6624,0.0256623025385703
7,13327.105536,2,54515982.6176,0.0395834613887352
8,13327.125536,1,54516002.6112,0.0256203003667507
9,13327.145536,2,54516022.6944,0.039335546130678
10,13327.165536,1,54516042.7008,0.0254348761448153
11,13327.185536,2,54516062.6176,0.0391706107730449
12,13327.205536,1,54516082.6624,0.025414387280513
13,13327.225536,2,54516102.6944,0.0385590181736226
14,13327.245536,1,54516122.6112,0.0252699407871822
15,13327.265536,2,54516142.6816,0.0380375765771303
16,13327.285536,1,54516162.6496,0.0252822341057635
17,13327.305536,2,54516182.6816,0.0375007683324113
18,13327.325536,1,54516202.6752,0.0250906632245375
19,13327.345536,2,54516222.6816,0.0372477308582785
20,13327.365536,1,54516242.7008,0.0251285676234966
21,13327.385536,2,54516262.6816,0.0370807466142152
22,13327.405536,1,54516282.624,0.0250640277009445
23,13327.425536,2,54516302.6816,0.0370643555227734
24,13327.445536,1,54516322.7008,0.0250056344376831
25,13327.465536,2,54516342.6432,0.0370162066916631
26,13327.485536,1,54516362.6752,0.0248919212408056
27,13327.505536,2,54516382.6432,0.0369936689409306
28,13327.525536,1,54516402.6496,0.0248642612739976
29,13327.545536,2,54516422.6944,0.0366822382035364
30,13327.565536,1,54516442.688,0.0249697789251542
31,13327.585536,2,54516462.72,0.0362755342471367
32,13327.605536,1,54516482.7008,0.024894994570451
33,13327.625536,2,54516502.7072,0.0358893191550392
34,13327.645536,1,54516522.7776,0.0247792324871432
35,13327.665536,2,54516542.7328,0.0352377732702276
36,13327.685536,1,54516562.7008,0.0247085459053005
37,13327.705536,2,54516582.72,0.0349027803388858
38,13327.725536,1,54516602.7648,0.0246306882209519
39,13327.745536,2,54516622.6944,0.0345554940889626
40,13327.765536,1,54516642.7392,0.0245825393898416
41,13327.785536,2,54516662.72,0.0345380785543057
42,13327.805536,1,54516682.7392,0.0245579527526789
43,13327.825536,2,54516702.7456,0.0347716516073514
44,13327.845536,1,54516722.7008,0.0245231216833651
45,13327.865536,2,54516742.7328,0.0347685782777061
46,13327.885536,1,54516762.752,0.024458581760813
47,13327.905536,2,54516782.7072,0.0345565185321778
48,13327.925536,1,54516802.7136,0.0244565328743828
49,13327.945536,2,54516822.7328,0.0343526543323704
50,13327.965536,1,54516842.7136,0.024477021738685
51,13327.985536,2,54516862.7456,0.0343444587866494
52,13328.005536,1,54516882.7648,0.0244339951236503
53,13328.025536,2,54516902.72,0.0344069498227713
54,13328.045536,1,54516922.752,0.0244780461819001
55,13328.065536,2,54516942.7072,0.0348177515520315
56,13328.085536,1,54516962.8288,0.024512877251214
57,13328.105536,2,54516982.784,0.0350103468764726
58,13328.125536,1,54517003.5584,0.0245538549798185
59,13328.145536,2,54517022.784,0.0351998688712685
60,13328.165536,1,54517042.8288,0.024549757206958
61,13328.185536,2,54517062.7584,0.0348105804495257
62,13328.205536,1,54517082.8032,0.0244227262482841
63,13328.225536,2,54517102.7456,0.0344489519945909
64,13328.245536,1,54517122.7392,0.0243756018603889
65,13328.265536,2,54517142.7712,0.0345391029975208
66,13328.285536,1,54517162.752,0.0244217018050689
67,13328.305536,2,54517182.7328,0.0347829204827176
68,13328.325536,1,54517202.7648,0.0243663818714529
69,13328.345536,2,54517222.7456,0.0350789845718852
70,13328.365536,1,54517242.9952,0.0244083840432725
71,13328.385536,2,54517262.8096,0.0353084598520704
72,13328.405536,1,54517282.8288,0.0244688261929641
73,13328.425536,2,54517302.8352,0.0354395885836048
74,13328.445536,1,54517322.8416,0.0245456594340976
75,13328.465536,2,54517342.7712,0.0354539307886164
76,13328.485536,1,54517362.8288,0.024585612719487
77,13328.505536,2,54517382.7712,0.0351875755526871
78,13328.525536,1,54517402.8032,0.0246685926199111
79,13328.545536,2,54517422.8096,0.0350001024443215
80,13328.565536,1,54517442.7776,0.0246481037556088
81,13328.585536,2,54517462.8352,0.0348833159177987
82,13328.605536,1,54517482.8416,0.0247454258610445
83,13328.625536,2,54517502.7712,0.0347982871309443
84,13328.645536,1,54517522.8288,0.0245661482983998
85,13328.665536,2,54517542.8608,0.0348187759952466
