FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,8652.575552,7,65512687.0016,0.00392156862745098
1,8652.59552,2,65512707.0592,0.0401899317720819
2,8652.61552,1,65512726.9632,0.0295961644846026
3,8652.63552,2,65512746.944,0.0400690474726986
4,8652.65552,1,65512766.9504,0.0296309955539164
5,8652.67552,2,65512786.9696,0.0400342164033848
6,8652.69552,1,65512806.9632,0.0296586555207245
7,8652.71552,2,65512826.944,0.0398928432396992
8,8652.73552,1,65512846.9632,0.0295623578585039
9,8652.75552,2,65512866.9696,0.0397791300428217
10,8652.77552,1,65512886.976,0.029544942323847
11,8652.79552,2,65512906.9696,0.0396336591062757
12,8652.81552,1,65512926.9504,0.0295418689942017
13,8652.83552,2,65512947.008,0.0396377568791362
14,8652.85552,1,65512966.976,0.0295480156534923
15,8652.87552,2,65512986.9824,0.0396285368902002
16,8652.89552,1,65513006.9632,0.0295644067449341
17,8652.91552,2,65513026.9824,0.0397442989735079
18,8652.93552,1,65513046.976,0.0295531378695679
19,8652.95552,2,65513067.0336,0.039590632491241
20,8652.97552,1,65513087.0016,0.0294650357530682
21,8652.99552,2,65513106.9568,0.0395056037043867
22,8653.01552,1,65513126.9888,0.0294783535148647
23,8653.03552,2,65513146.9952,0.0394799926240089
24,8653.05552,1,65513167.0656,0.0294957690495216
25,8653.07552,2,65513187.0336,0.0395383858872703
26,8653.09552,1,65513206.976,0.0294363513430451
27,8653.11552,2,65513227.008,0.0394052082693056
28,8653.13552,1,65513247.0144,0.0294558157641322
29,8653.15552,2,65513267.008,0.0394738459647182
30,8653.17552,1,65513287.0016,0.029444546888766
31,8653.19552,2,65513306.9952,0.0394461859979101
32,8653.21552,1,65513326.9888,0.0293892269551499
33,8653.23552,2,65513346.9952,0.0395496547626365
34,8653.25552,1,65513367.0144,0.0294404491159055
35,8653.27552,2,65513387.0208,0.0394011104964452
36,8653.29552,1,65513407.04,0.0293789825229987
37,8653.31552,2,65513427.0336,0.0393847194050034
38,8653.33552,1,65513447.0656,0.0293431270104698
39,8653.35552,2,65513467.0336,0.0393662794271314
40,8653.37552,1,65513487.0528,0.0292970270657897
41,8653.39552,2,65513507.0208,0.0393314483578175
42,8653.41552,1,65513527.0528,0.0293318581351036
43,8653.43552,2,65513547.0336,0.0391870018644867
44,8653.45552,1,65513567.0912,0.0293861536255045
