FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,8311.95456,7,59787905.4464,0.00392156862745098
1,8311.974528,2,59787925.9008,0.0472473210809925
2,8311.994528,1,59787945.3312,0.0360501567398119
3,8312.014528,2,59787965.3504,0.0445509865388162
4,8312.034528,1,59787985.3824,0.0340135636281681
5,8312.054528,2,59788005.312,0.0459524248570902
6,8312.074528,1,59788025.3568,0.0358473169832196
7,8312.094528,2,59788045.3248,0.04549552318315
8,8312.114528,1,59788065.3696,0.0357633126395804
9,8312.134528,2,59788085.3248,0.044986374905239
10,8312.154528,1,59788105.344,0.0357018460466736
11,8312.174528,2,59788125.4272,0.0446452353146065
12,8312.194528,1,59788145.3952,0.0355789128608601
13,8312.214528,2,59788165.4272,0.0442395558014219
14,8312.234528,1,59788185.3952,0.0354662241071977
15,8312.254528,2,59788205.3632,0.043903538426865
16,8312.274528,1,59788225.4592,0.0352531399184543
17,8312.294528,2,59788245.4144,0.0436341098612904
18,8312.314528,1,59788265.3696,0.0351599155858791
19,8312.334528,2,59788285.4144,0.0436320609748602
20,8312.354528,1,59788305.3824,0.0351261089597804
21,8312.374528,2,59788325.4016,0.0436228409859241
22,8312.394528,1,59788345.4208,0.0350195668654086
23,8312.414528,2,59788365.376,0.0436269387587846
24,8312.434528,1,59788385.3952,0.0349744913639437
25,8312.454528,2,59788405.4784,0.0435111766754769
26,8312.474528,1,59788425.6256,0.034949904726781
27,8312.494528,2,59788445.5424,0.0432909213842277
28,8312.514528,1,59788465.408,0.0348034093470199
29,8312.534528,2,59788485.3888,0.0429313418157232
30,8312.554528,1,59788505.3696,0.0348003360173746
31,8312.574528,2,59788525.4528,0.0429016329624849
32,8312.594528,1,59788545.4464,0.0346302784436659
33,8312.614528,2,59788565.4272,0.0426987932058926
34,8312.634528,1,59788585.4464,0.0346210584547299
35,8312.654528,2,59788605.3888,0.0426905976601717
36,8312.674528,1,59788625.4208,0.0346159362386543
37,8312.694528,2,59788645.4272,0.0427653820148749
38,8312.714528,1,59788665.4336,0.0345462741000266
39,8312.734528,2,59788685.4272,0.0429036818489151
40,8312.754528,1,59788705.4336,0.0344694408588932
41,8312.774528,2,59788725.4528,0.0431444260044666
42,8312.794528,1,59788745.5104,0.0344069498227713
43,8312.814528,2,59788765.4272,0.0434281967750528
44,8312.834528,1,59788785.4208,0.0344171942549224
45,8312.854528,2,59788805.4272,0.0436402565205811
46,8312.874528,1,59788825.408,0.034403876493126
47,8312.894528,2,59788845.4656,0.0436003032351917
48,8312.914528,1,59788865.4592,0.0343465076730797
49,8312.934528,2,59788885.4656,0.0434865900383142
50,8312.954528,1,59788905.4464,0.0342891388530334
51,8312.974528,2,59788925.44,0.0436105476673428
52,8312.994528,1,59788945.4592,0.0343239699223472
53,8313.014528,2,59788965.4528,0.0432151125863093
54,8313.034528,1,59788985.4464,0.0342799188640974
55,8313.054528,2,59789005.4912,0.0428258241645666
56,8313.074528,1,59789025.5232,0.0343393365705739
57,8313.094528,2,59789045.5168,0.0424467801749749
58,8313.114528,1,59789065.536,0.0343167988198414
59,8313.134528,2,59789085.504,0.0419878296146045
60,8313.154528,1,59789105.4464,0.0342543077837195
61,8313.174528,2,59789125.4784,0.0417337676972565
62,8313.194528,1,59789145.4976,0.0341610834511443
63,8313.214528,2,59789165.4656,0.0418177720408958
64,8313.234528,1,59789185.5104,0.0342368922490626
65,8313.254528,2,59789205.4784,0.0418802630770176
66,8313.274528,1,59789225.6256,0.0342409900219231
67,8313.294528,2,59789245.5168,0.0417224988218903
68,8313.314528,1,59789265.5104,0.0342635277726556
69,8313.334528,2,59789285.5168,0.0419079230438257
70,8313.354528,1,59789305.5232,0.0342000122933186
71,8313.374528,2,59789325.504,0.041801380949454
72,8313.394528,1,59789345.5872,0.034213330055115
73,8313.414528,2,59789365.5424,0.0416477144671871
74,8313.434528,1,59789385.5232,0.034148790132563
75,8313.454528,2,59789405.5808,0.041737865470117
76,8313.474528,1,59789425.6,0.0341754256561559
77,8313.494528,2,59789445.5168,0.0417942098469482
78,8313.514528,1,59789465.5616,0.0340873235396562
79,8313.534528,2,59789485.568,0.0416702522179196
80,8313.554528,1,59789505.536,0.0340647857889237
81,8313.574528,2,59789525.6192,0.0416948388550823
82,8313.594528,1,59789545.5488,0.0341354723707665
83,8313.614528,2,59789565.568,0.0416897166390067
84,8313.634528,1,59789585.5744,0.0340156125145983
85,8313.654528,2,59789605.5296,0.041620054500379
86,8313.674528,1,59789625.6256,0.0341364968139816
87,8313.694528,2,59789645.5808,0.0418526031102096
88,8313.714528,1,59789665.5744,0.0340893724260864
89,8313.734528,2,59789685.5552,0.0421763271661852
90,8313.754528,1,59789705.5744,0.0340883479828713
91,8313.774528,2,59789725.5296,0.0426240088511894
92,8313.794528,1,59789745.5872,0.03407605466429
