FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,3442.387552,7,36033202.3936,0.00392156862745098
1,3442.40752,2,36033222.3104,0.0483998196979941
2,3442.42752,1,36033242.4704,0.0304444034667158
3,3442.44752,2,36033262.5152,0.0480453623455652
4,3442.46752,1,36033282.2656,0.0303737168848731
5,3442.48752,2,36033302.2848,0.0476294384002295
6,3442.50752,1,36033322.2784,0.0301698526850657
7,3442.52752,2,36033342.3232,0.0470137480279468
8,3442.54752,1,36033362.4576,0.0300049173274325
9,3442.56752,2,36033382.3104,0.0464185465199664
10,3442.58752,1,36033402.3168,0.029763148728666
11,3442.60752,2,36033422.2976,0.0458008072612535
12,3442.62752,1,36033442.2656,0.0296617288503698
13,3442.64752,2,36033462.2848,0.0453182945069355
14,3442.66752,1,36033482.3424,0.0294312291269695
15,3442.68752,2,36033502.2976,0.0447722662732805
16,3442.70752,1,36033522.3808,0.0293339070215338
17,3442.72752,2,36033542.3104,0.0444331755690782
18,3442.74752,1,36033562.2912,0.0293287848054582
19,3442.76752,2,36033582.4384,0.0440951093080911
20,3442.78752,1,36033602.3296,0.029080869547401
21,3442.80752,2,36033622.3744,0.0439414428258242
22,3442.82752,1,36033642.3552,0.0291044317413486
23,3442.84752,2,36033662.3104,0.0440315938287541
24,3442.86752,1,36033682.304,0.0290327207162907
25,3442.88752,2,36033702.6304,0.0443030712807589
26,3442.90752,1,36033722.8672,0.0288790542340238
27,3442.92752,2,36033742.3616,0.0442098469481837
28,3442.94752,1,36033762.3552,0.0287632921507161
29,3442.96752,2,36033782.3232,0.0437252853074354
30,3442.98752,1,36033802.368,0.0287069477738849
31,3443.00752,2,36033822.3872,0.0433646812957158
32,3443.02752,1,36033842.3808,0.0286926055688733
33,3443.04752,2,36033862.3488,0.0431003749462167
34,3443.06752,1,36033882.3424,0.0285276702112402
35,3443.08752,2,36033902.3872,0.0431147171512283
36,3443.10752,1,36033922.6624,0.0285358657569611
37,3443.12752,2,36033942.336,0.0430184194890077
38,3443.14752,1,36033962.3936,0.0284201036736534
39,3443.16752,2,36033982.4768,0.0430225172618682
40,3443.18752,1,36034002.3424,0.0283883459339849
41,3443.20752,2,36034022.4256,0.0429374884750138
42,3443.22752,1,36034042.3936,0.0283135615792817
43,3443.24752,2,36034062.3488,0.0428965107464093
44,3443.26752,1,36034082.4448,0.0282766816235376
45,3443.28752,2,36034102.3744,0.0429579773393161
46,3443.30752,1,36034122.4832,0.0281353084598521
47,3443.32752,2,36034142.4256,0.0427612842420145
48,3443.34752,1,36034162.3552,0.0281568217673694
49,3443.36752,2,36034182.3872,0.0425563955989919
50,3443.38752,1,36034202.432,0.0281650173130903
51,3443.40752,2,36034222.5664,0.0425420533939804
52,3443.42752,1,36034242.5216,0.0281855061773926
53,3443.44752,2,36034262.3744,0.0426127399758231
54,3443.46752,1,36034282.368,0.027979593091155
55,3443.48752,2,36034302.4512,0.0426106910893929
56,3443.50752,1,36034322.4064,0.028007253057963
57,3443.52752,2,36034342.3616,0.0424734156985678
58,3443.54752,1,36034362.4192,0.0279713975454341
59,3443.56752,2,36034382.3744,0.0423586780584752
60,3443.58752,1,36034402.4576,0.0279652508861434
61,3443.60752,2,36034422.5664,0.0420779806175344
62,3443.62752,1,36034442.4192,0.0279140287253878
63,3443.64752,2,36034462.4128,0.0419724629663778
64,3443.66752,1,36034482.4192,0.0278156821767369
65,3443.68752,2,36034502.4,0.0419099719302559
66,3443.70752,1,36034522.4192,0.027852562132481
67,3443.72752,2,36034542.464,0.0417552810047739
68,3443.74752,1,36034562.4192,0.0278126088470916
69,3443.76752,2,36034582.4256,0.0414336058352286
70,3443.78752,1,36034602.4192,0.0278474399164054
71,3443.80752,2,36034622.6304,0.0414797057799086
72,3443.82752,1,36034642.4704,0.0278289999385334
